,magnitude,cdi,mmi,sig,nst,dmin,gap,magType,depth,alert
189,6.5,8,8,1153,0,0.225,37.0,mww,19.36,yellow
190,7.3,8,9,2790,0,0.284,33.0,mww,19.0,red
191,6.5,6,5,661,0,4.45,10.0,mww,110.56,green
192,6.8,5,5,727,0,4.85,21.0,mww,10.0,green
193,6.6,3,5,674,0,0.788,29.0,mww,22.0,green
194,6.7,3,4,691,0,1.062,55.0,mww,24.0,green
195,6.7,3,3,694,0,1.634,16.0,mww,554.0,green
196,6.5,3,5,651,0,1.154,11.0,mww,119.0,green
198,8.2,9,7,2910,0,0.944,22.0,mww,47.38,red
199,6.5,5,7,707,0,11.414,22.0,mww,9.0,yellow
200,6.6,7,7,1064,0,0.913,16.0,mww,7.0,yellow
201,7.7,8,7,918,0,3.564,13.0,mww,10.0,green
202,6.6,5,4,704,0,3.773,37.0,mww,10.0,green
203,6.5,9,8,740,0,4.14,30.0,mww,9.0,yellow
204,6.8,6,6,1034,0,1.065,38.0,mww,38.12,yellow
205,6.9,8,6,1188,0,0.247,35.0,mww,93.0,yellow
206,6.8,0,4,711,0,2.309,12.0,mww,5.0,green
207,6.6,7,7,678,0,2.354,18.0,mww,12.0,green
208,6.5,0,4,650,0,6.49,17.0,mww,15.0,green
209,6.8,6,5,713,0,7.496,19.0,mww,169.0,green
210,6.9,9,6,814,0,1.636,14.0,mww,26.0,green
211,6.9,9,7,1642,0,0.356,39.0,mww,28.0,yellow
212,6.5,7,8,1297,0,2.36,15.0,mww,29.0,green
213,6.6,6,7,671,0,4.59,14.0,mww,17.0,yellow
214,6.9,2,3,733,0,6.01,19.0,mww,414.5,green
215,6.5,3,3,653,0,4.242,14.0,mww,596.0,green
216,6.5,8,7,718,0,2.822,36.0,mww,15.0,yellow
217,7.9,9,7,987,0,3.625,9.0,mww,135.0,yellow
218,6.5,6,6,654,0,1.64,21.0,mww,36.0,green
219,7.3,6,3,849,0,3.812,18.0,mww,627.0,green
